Item,Class,Type
http://www.semanticweb.org/hpuser/ontologies/2021/5/medicineOntology#MAL20012745_ACE,http://www.semanticweb.org/hpuser/ontologies/2021/5/medicineOntology#MALRegistrationNumber,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.semanticweb.org/hpuser/ontologies/2021/5/medicineOntology#C07AA05110T100108,http://www.w3.org/2002/07/owl#Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.semanticweb.org/hpuser/ontologies/2021/5/medicineOntology#ORALCET_TABLET,http://www.w3.org/2002/07/owl#Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.semanticweb.org/hpuser/ontologies/2021/5/medicineOntology#PHARMANIAGA_MANUFACTURING_BERHAD,http://www.w3.org/2002/07/owl#Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.semanticweb.org/hpuser/ontologies/2021/5/medicineOntology#M01AE01000T100106,http://www.w3.org/2002/07/owl#NamedIndividual,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
Nf54ba0caaa2e48c0bb4788bf41a7ab24,http://www.w3.org/2002/07/owl#Restriction,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.semanticweb.org/hpuser/ontologies/2021/5/medicineOntology#GLAXOSMITHKLINE_CONSUMER_HEALTHCARE_SDN._BHD.,http://www.w3.org/2002/07/owl#NamedIndividual,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.semanticweb.org/hpuser/ontologies/2021/5/medicineOntology#ARFEN_250_SUPPOSITORIES,http://www.w3.org/2002/07/owl#Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
N5974375d162a4f7aba37b9b1c622824a,http://www.w3.org/2002/07/owl#Restriction,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.semanticweb.org/hpuser/ontologies/2021/5/medicineOntology#NALOL_TABLET_10MG,http://www.w3.org/2002/07/owl#NamedIndividual,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.semanticweb.org/hpuser/ontologies/2021/5/medicineOntology#hasProductName,http://www.w3.org/2002/07/owl#ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
N0cc97d5f06fc4a9ea9f8c3f0934c53cb,http://www.w3.org/2002/07/owl#Restriction,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.semanticweb.org/hpuser/ontologies/2021/5/medicineOntology#PHARMANIAGA_IBUPROFEN_TABLET_200MG,http://www.w3.org/2002/07/owl#Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.semanticweb.org/hpuser/ontologies/2021/5/medicineOntology#PANAMAX_TABLET,http://www.w3.org/2002/07/owl#NamedIndividual,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.semanticweb.org/hpuser/ontologies/2021/5/medicineOntology#hasCompanyName,http://www.w3.org/2002/07/owl#ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
Ne8370fc7f93646759292a80a1f24985e,http://www.w3.org/2002/07/owl#Restriction,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
N2ce6f9a2bc714039a1baa7e718659d01,http://www.w3.org/2002/07/owl#Restriction,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.semanticweb.org/hpuser/ontologies/2021/5/medicineOntology#MAL19921172_X,http://www.w3.org/2002/07/owl#Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.semanticweb.org/hpuser/ontologies/2021/5/medicineOntology#Ibuprofen_200_mg_Tablet,http://www.w3.org/2002/07/owl#NamedIndividual,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.semanticweb.org/hpuser/ontologies/2021/5/medicineOntology#N02BE01000L900104,http://www.w3.org/2002/07/owl#Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.semanticweb.org/hpuser/ontologies/2021/5/medicineOntology#PHARMAFORTE_MALAYSIA_SDN_BHD,http://www.w3.org/2002/07/owl#Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.semanticweb.org/hpuser/ontologies/2021/5/medicineOntology#PHARMANIAGA_IBUPROFEN_TABLET_200_MG,http://www.w3.org/2002/07/owl#NamedIndividual,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
